City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
321,Kamra,PK,33.7473,73.5111,46.96,56,10,9.46,clear sky
322,Sao Sebastiao,BR,-23.76,-45.4097,78.06,87,85,2.46,light rain
323,Lorengau,PG,-2.0226,147.2712,78.55,80,100,3.76,overcast clouds
324,Simmerath,DE,50.6,6.3,44.69,42,100,11.01,overcast clouds
325,Tazovskiy,RU,67.4667,78.7,-9.35,100,94,4.72,overcast clouds
326,Ipixuna,BR,-1.7625,-48.8043,84.15,87,49,3.87,scattered clouds
327,Plettenberg Bay,ZA,-34.0527,23.3716,73.17,88,65,3.6,broken clouds
328,Baruun-Urt,MN,46.6806,113.2792,-11.33,92,4,4.47,clear sky
329,Beruwala,LK,6.4788,79.9828,78.58,78,70,6.08,broken clouds
330,Praia Da Vitoria,PT,38.7333,-27.0667,59.76,82,40,12.33,scattered clouds
331,Lunenburg,CA,44.3835,-64.3155,27.05,53,17,7.49,few clouds
332,Anaco,VE,9.4389,-64.4728,88.74,40,94,8.1,overcast clouds
333,Cabo San Lucas,MX,22.8909,-109.9124,76.6,58,0,3,clear sky
334,Pangnirtung,CA,66.1451,-65.7125,-27.4,68,20,2.3,few clouds
335,Mount Gambier,AU,-37.8333,140.7667,48.11,71,29,8.05,scattered clouds
336,San Quintin,MX,30.4833,-115.95,61.11,65,42,8.46,scattered clouds
337,Changping,CN,40.2186,116.2197,11.84,32,0,6.46,clear sky
338,Bandar-E Lengeh,IR,26.5579,54.8807,69.53,71,0,16.87,clear sky
339,Tyup,KG,42.7276,78.3648,14.29,76,7,4.74,clear sky
340,Skjervoy,NO,70.0311,20.9714,24.98,45,91,11.54,overcast clouds
341,Bolkhov,RU,53.4433,36.0044,15.51,97,80,8.59,light snow
342,Sulecin,PL,52.4443,15.1168,40.08,87,100,16.62,light rain
343,Taitung,TW,22.7583,121.1444,66.56,83,89,6.46,overcast clouds
344,Buala,SB,-8.145,159.5921,80.74,84,100,6.4,light rain
345,Upernavik,GL,72.7868,-56.1549,-16.33,75,100,6.26,overcast clouds
346,Meulaboh,ID,4.1363,96.1285,75.31,89,96,5.19,overcast clouds
347,Basco,PH,20.4487,121.9702,73.44,75,100,17.29,overcast clouds
348,Fujin,CN,47.26,132.0322,-2.09,91,17,9.17,few clouds
349,Cherskiy,RU,68.75,161.3,-5.49,80,92,4.32,overcast clouds
