City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
97,Avera,US,1/26/2022 22:36,33.194,-82.5271,55.27,66,74,8.52
98,Mount Isa,AU,1/26/2022 22:36,-20.7333,139.5,74.97,100,100,9.22
99,Henties Bay,NA,1/26/2022 22:36,-22.116,14.2845,65.86,86,91,5.35
100,Novaya Igirma,RU,1/26/2022 22:36,57.1334,103.9112,-13.99,100,92,1.21
101,Kalabo,ZM,1/26/2022 22:36,-14.97,22.6814,67.08,92,100,3.56
102,Oranjestad,AW,1/26/2022 22:33,12.524,-70.027,80.55,74,40,20.71
103,Goderich,CA,1/26/2022 22:36,43.7501,-81.7165,16.92,57,92,11.5
104,Grand Gaube,MU,1/26/2022 22:36,-20.0064,57.6608,71.38,69,9,3
105,Bintulu,MY,1/26/2022 22:36,3.1667,113.0333,75.61,94,40,0
106,Mandiana,GN,1/26/2022 22:36,10.6333,-8.6833,74.37,16,5,4.72
107,Treinta Y Tres,UY,1/26/2022 22:36,-33.2333,-54.3833,70.21,97,100,7.47
108,Acari,PE,1/26/2022 22:36,-15.4311,-74.6158,74.62,71,25,7.87
109,Ambilobe,MG,1/26/2022 22:36,-13.2,49.05,72.37,95,93,2.01
110,Ewa Beach,US,1/26/2022 22:36,21.3156,-158.0072,80.55,59,100,14.97
111,Iqaluit,CA,1/26/2022 22:35,63.7506,-68.5145,-22.27,69,20,2.3
112,Praia,CV,1/26/2022 22:36,14.9215,-23.5087,72.14,78,0,25.32
113,Dois Vizinhos,BR,1/26/2022 22:36,-25.7336,-53.0572,74.75,81,100,1.86
114,Hobart,AU,1/26/2022 22:35,-42.8794,147.3294,70.23,67,75,4
115,Kaitangata,NZ,1/26/2022 22:36,-46.2817,169.8464,55.92,55,56,13.44
116,Manokwari,ID,1/26/2022 22:36,-0.8667,134.0833,81.09,76,100,5.64
117,Puerto Ayora,EC,1/26/2022 22:36,-0.7393,-90.3518,78.76,83,75,9.64
118,Viedma,AR,1/26/2022 22:36,-40.8135,-62.9967,64.56,50,0,12.39
119,Waingapu,ID,1/26/2022 22:36,-9.6567,120.2641,79.68,83,100,9.33
120,Ahuimanu,US,1/26/2022 22:36,21.4447,-157.8378,80.31,63,40,5.99
121,Norman Wells,CA,1/26/2022 22:34,65.282,-126.8329,8.64,85,75,3.44
122,Butaritari,KI,1/26/2022 22:36,3.0707,172.7902,81.79,79,59,14.05
123,Wuwei,CN,1/26/2022 22:36,37.9281,102.6414,18.95,64,65,0.96
124,Nyurba,RU,1/26/2022 22:36,63.2842,118.3319,-9.62,99,99,4.79
125,Sandnessjoen,NO,1/26/2022 22:36,66.0217,12.6316,39.18,91,75,1.99
126,East London,ZA,1/26/2022 22:36,-33.0153,27.9116,73.8,90,73,4.05
127,Torbay,CA,1/26/2022 22:35,47.6666,-52.7314,37.58,97,75,8.05
128,Los Llanos De Aridane,ES,1/26/2022 22:36,28.6585,-17.9182,58.75,78,20,7
129,Saint-Philippe,RE,1/26/2022 22:36,-21.3585,55.7679,71.19,66,84,8.37
130,Jutai,BR,1/26/2022 22:36,-5.1833,-68.9,75.22,94,97,2.53
131,Mar Del Plata,AR,1/26/2022 22:35,-38.0023,-57.5575,64.42,71,20,23
132,Pemangkat,ID,1/26/2022 22:36,1.1667,108.9667,76.46,88,100,7.52
133,Yar-Sale,RU,1/26/2022 22:36,66.8333,70.8333,5.29,94,98,11.61
134,Cherskiy,RU,1/26/2022 22:36,68.75,161.3,-43.74,99,47,4.76
135,Narsaq,GL,1/26/2022 22:36,60.9167,-46.05,19.62,83,83,10.96
136,Yellowknife,CA,1/26/2022 22:34,62.456,-114.3525,6.42,84,100,3.44
137,Bogalusa,US,1/26/2022 22:36,30.791,-89.8487,55.69,30,0,10.36
138,Nanortalik,GL,1/26/2022 22:37,60.1432,-45.2371,17.71,76,100,11.63
139,Andenes,NO,1/26/2022 22:37,69.3143,16.1194,27.07,86,20,8.05
140,Santa Lucia,ES,1/26/2022 22:37,27.9117,-15.5407,55.76,72,20,10.36
141,Namatanai,PG,1/26/2022 22:37,-3.6667,152.4333,83.79,73,88,3.09
142,Pisco,PE,1/26/2022 22:34,-13.7,-76.2167,73.45,64,62,23.02
143,Tateyama,JP,1/26/2022 22:37,34.9833,139.8667,37.42,66,99,12.53
144,Huarmey,PE,1/26/2022 22:37,-10.0681,-78.1522,73.89,76,25,9.66
145,Komsomolskiy,UZ,1/26/2022 22:37,40.4272,71.7189,27.32,80,0,6.91
146,Salamanca,ES,1/26/2022 22:37,40.8333,-6,33.58,81,6,4.36
147,Koygorodok,RU,1/26/2022 22:37,60.445,50.9968,6.03,98,96,2.28
148,Caravelas,BR,1/26/2022 22:37,-17.7125,-39.2481,75.34,91,61,4.88
149,Chuy,UY,1/26/2022 22:37,-33.6971,-53.4616,70.14,92,98,9.44
150,Lebu,CL,1/26/2022 22:37,-37.6167,-73.65,63.19,75,0,10.2
151,Asau,RO,1/26/2022 22:37,46.4333,26.4,29.32,87,97,6.71
152,Lichinga,MZ,1/26/2022 22:37,-13.3128,35.2406,64.49,100,75,10.36
153,Bollnas,SE,1/26/2022 22:37,61.3482,16.3946,34.39,89,99,3.24
154,Lompoc,US,1/26/2022 22:37,34.6391,-120.4579,69.94,64,0,9.22
155,Katete,UG,1/26/2022 22:37,-0.7818,29.7544,65.5,67,85,3.27
