City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
152,Castiglione Delle Stiviere,IT,69.87,clear sky,45.3906,10.4853,JHD Dunant Hotel
153,Riyadh,SA,84.34,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
154,Cam Ranh,VN,78.76,broken clouds,11.9214,109.1591,OYO 598 Peony Hotel
155,Portland,US,65.3,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
156,Coquimbo,CL,55.13,few clouds,-29.9533,-71.3436,Hotel San Juan
157,Tuatapere,NZ,52.83,overcast clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
159,Bontang,ID,76.28,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
161,Makhachkala,RU,57.18,scattered clouds,42.9764,47.5024,Argo
163,Parana,AR,56.57,few clouds,-31.732,-60.5238,Howard Johnson by Wyndham Plaza Hotel Mayorazgo
165,Fengkou,CN,59.95,few clouds,30.0833,113.2667,君悦大酒店
166,Alghero,IT,62.69,clear sky,40.5589,8.3181,Smy Carlos V Alghero
167,Rocha,UY,52.75,overcast clouds,-34.4833,-54.3333,Hotel Arrarte
168,Saint Anthony,US,70.92,clear sky,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
169,Byron Bay,AU,69.71,overcast clouds,-28.65,153.6167,Backpackers Inn
170,Salinas,US,79.02,scattered clouds,36.6777,-121.6555,Laurel Inn & Conference Center
171,Puerto Ayora,EC,82.36,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
172,Praia,CV,81.14,clear sky,14.9215,-23.5087,LT Aparthotel
173,Metro,ID,75.29,overcast clouds,-5.1131,105.3067,OYO 3177 Wisma Lintang
176,Dakar,SN,77.88,overcast clouds,14.6937,-17.4441,Novotel Dakar
177,Rio Grande,BR,53.71,scattered clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
178,Jiamusi,CN,51.67,broken clouds,46.8333,130.35,Riversky Hotel
179,Vila Velha,BR,78.75,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
180,Marawi,PH,70.11,overcast clouds,7.9986,124.2928,Derogongan Residence
